Dte. Barri AEB SC Electors Votants Abstenció CiU PSC-PM PP ICV-EUiA-E UpB-ERCRiDC CUP-AxB C's Eb-CenB SI EV-GVE PIRATA.CAT PACMA PxC PUM+J UPyD PDLPEA L.B.B. PCPC P.A.T.O. PRE-IR PH PFiV FE-JONS SAIn U.C.E. Blancs Nuls
BARCELONA    1.163.594 616.537 547.057 174.122 134.193 104.475 62.979 33.900 11.833 11.742 10.115 6.823 6.128 4.675 4.308 3.405 1.593 1.463 1.382 1.189 979 954 710 624 533 349 246 219 27.107 10.491
2 8 41 100 1.064 655 409 211 122 111 65 43 11 14 12 11 3 1 3 2 4 1 0 0 1 0 0 0 0 0 0 0 31 9
2 8 41 101 1.554 855 699 358 124 113 77 42 20 11 18 3 11 9 4 3 1 2 2 0 1 1 2 1 1 0 0 0 35 16
2 8 42 102 1.027 643 384 270 88 96 65 33 8 11 11 9 2 2 4 2 1 1 0 0 1 0 0 0 0 0 0 0 29 10
2 8 42 103 1.223 647 576 217 102 104 66 41 12 9 11 5 6 5 4 4 0 0 0 0 2 2 1 1 2 3 0 0 44 6
2 8 42 104 852 496 356 219 62 77 36 35 12 7 7 4 2 4 3 1 1 0 1 1 1 1 2 0 1 0 0 0 15 4
2 8 42 105 1.462 776 686 305 121 110 56 42 9 19 15 11 8 5 5 2 1 4 2 0 1 1 1 2 2 0 1 0 42 11
2 8 43 106 1.004 596 408 244 94 100 61 20 12 10 9 10 1 5 1 0 4 1 0 1 0 0 0 0 0 0 0 1 18 4
2 8 43 107 1.241 767 474 350 108 136 40 37 11 10 11 8 4 8 0 4 2 2 1 0 0 2 0 0 0 1 0 1 22 9
2 8 43 108 1.180 732 448 328 93 157 53 21 4 12 5 4 2 7 1 1 1 1 1 0 0 1 0 0 0 0 0 0 29 11
2 8 43 109 1.460 899 561 398 114 203 45 22 13 18 12 3 5 7 5 2 1 2 2 1 0 2 0 0 0 0 0 4 33 7
2 9 44 110 1.301 683 618 257 114 137 44 29 6 13 9 10 5 3 3 4 2 5 1 0 1 0 0 0 4 1 0 0 30 5
2 9 44 111 1.358 734 624 299 98 154 58 37 8 9 7 4 8 4 4 0 0 2 2 0 1 0 1 0 0 0 1 0 33 4
2 9 44 112 1.042 593 449 250 89 123 24 25 7 13 13 4 2 5 1 3 4 1 1 1 1 1 0 1 2 0 0 0 19 3
2 9 44 113 1.429 852 577 324 155 133 87 42 14 12 8 28 1 2 6 3 1 2 4 2 0 0 0 0 0 0 0 0 24 4
2 9 44 114 1.254 739 515 284 113 122 62 46 22 17 9 0 3 2 5 2 2 0 4 1 0 0 0 1 1 0 6 0 27 10
2 9 45 115 980 563 417 200 122 70 55 44 8 6 9 5 1 1 7 0 2 1 4 1 0 1 0 1 3 0 0 0 17 5
2 9 45 116 782 478 304 195 94 70 30 20 14 6 12 11 5 1 0 3 0 2 0 0 0 0 0 0 0 0 0 0 11 4
2 9 45 117 915 577 338 228 109 77 49 32 7 9 11 8 2 7 1 1 1 0 2 1 0 0 0 1 1 0 0 0 18 12
2 9 45 118 1.104 662 442 263 105 98 67 30 14 12 12 8 2 5 1 2 0 1 1 0 0 0 0 0 0 1 0 0 35 5
2 9 45 119 1.029 650 379 254 79 100 66 44 19 9 10 7 3 7 4 5 1 0 2 0 0 1 0 1 0 0 0 0 33 5
2 9 45 120 953 541 412 183 100 70 43 39 7 13 8 17 3 3 3 2 3 0 0 3 0 2 0 0 0 0 0 0 33 9
2 9 45 121 979 579 400 214 105 95 57 31 12 9 5 12 1 1 4 2 3 1 1 1 1 0 0 0 2 2 0 0 18 2
2 9 45 122 833 480 353 201 66 72 31 33 12 9 8 4 4 5 5 1 1 1 0 0 0 0 0 1 0 0 0 0 22 4
2 9 45 123 815 447 368 168 75 63 44 39 10 3 7 4 3 1 2 3 2 0 2 0 1 0 0 0 0 0 0 0 13 7
